timestamp;value
1638638769.042113;845
1638638769.042135;872
1638638769.0421572;890
1638638769.042179;941
1638638769.042201;950
1638638769.042223;953
1638638769.0422451;955
1638638769.042267;948
1638638769.042289;932
1638638769.042311;970
1638638769.0423331;1015
1638638769.042355;1012
1638638769.042377;1050
1638638769.042399;1065
1638638769.042421;1051
1638638769.042443;1023
1638638769.043135;980
1638638769.0431776;771
1638638769.0432203;654
1638638769.043263;542
1638638769.0433059;404
1638638769.0433486;383
1638638769.0433912;394
1638638769.043434;419
1638638769.0434766;498
1638638769.0435193;537
1638638769.0435622;614
1638638769.0436049;683
1638638769.0436475;720
1638638769.0436902;738
1638638769.043733;727
1638638769.0437756;722
1638638769.043888;712
1638638769.0442102;722
1638638769.0445325;726
1638638769.0448546;740
1638638769.0451767;742
1638638769.045499;738
1638638769.0458212;695
1638638769.0461433;677
1638638769.0464656;655
1638638769.0467877;624
1638638769.04711;592
1638638769.0474322;584
1638638769.0477543;584
1638638769.0480766;568
1638638769.0483987;574
1638638769.0487208;575
1638638769.048948;561
1638638769.0493312;550
1638638769.0497146;531
1638638769.0500977;519
1638638769.0504808;514
1638638769.0508642;500
1638638769.0512474;495
1638638769.0516305;486
1638638769.0520139;492
1638638769.052397;490
1638638769.0527804;488
1638638769.0531635;493
1638638769.0535467;497
1638638769.05393;499
1638638769.0543132;508
1638638769.0546963;505
1638638769.054958;508
1638638769.055331;513
1638638769.055704;520
1638638769.056077;516
1638638769.05645;504
1638638769.056823;480
1638638769.057196;482
1638638769.0575688;476
1638638769.057942;463
1638638769.0583148;461
1638638769.0586877;444
1638638769.0590608;443
1638638769.0594337;441
1638638769.0598066;433
1638638769.0601797;430
1638638769.0605526;430
1638638769.060795;419
1638638769.0611722;406
1638638769.0615494;405
1638638769.0619268;391
1638638769.062304;381
1638638769.0626812;360
1638638769.0630584;336
1638638769.0634356;345
1638638769.063813;338
1638638769.0641901;350
1638638769.0645673;342
1638638769.0649445;345
1638638769.0653217;358
1638638769.065699;361
1638638769.0660763;379
1638638769.0664535;369
1638638769.066705;361
1638638769.0670938;357
1638638769.0674827;349
1638638769.0678716;347
1638638769.0682607;326
1638638769.0686495;305
1638638769.0690384;290
1638638769.0694273;258
1638638769.069816;244
1638638769.070205;239
1638638769.070594;253
1638638769.070983;269
1638638769.0713718;282
1638638769.0717607;305
1638638769.0721495;310
1638638769.0725384;299
1638638769.072812;278
1638638769.0731907;274
1638638769.073569;280
1638638769.0739477;295
1638638769.074326;285
1638638769.0747046;276
1638638769.0750833;255
1638638769.0754616;252
1638638769.0758402;256
1638638769.0762188;244
1638638769.0765972;247
1638638769.0769758;242
1638638769.0773542;233
1638638769.0777328;228
1638638769.0781114;225
1638638769.0784898;219
1638638769.07877;208
1638638769.0791435;187
1638638769.0795171;183
1638638769.0798907;173
1638638769.0802643;174
1638638769.080638;165
1638638769.0810118;172
1638638769.0813854;164
1638638769.081759;162
1638638769.0821326;158
1638638769.0825062;163
1638638769.0828798;153
1638638769.0832534;168
1638638769.083627;163
1638638769.0840006;166
1638638769.0843742;167
1638638769.084611;225
1638638769.0849988;194
1638638769.0853868;217
